"","genes","p.value","FDR","perc_enrich","size","MaxZscore","DAM"
"PEMT","PEMT",1,1,0.0363279332351497,2037,2.9267275068443,"HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0008851, HMDB0008949, HMDB0008984, HMDB0008985, HMDB0009114, HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0007937, HMDB0008033, HMDB0008841, HMDB0008932, HMDB0008991, HMDB0009220, HMDB0009481, HMDB0060501, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0009010, HMDB0009011, HMDB0009042, HMDB0009075, HMDB0009140, HMDB0009173, HMDB0009205, HMDB0009236, HMDB0009267, HMDB0009268, HMDB0009298, HMDB0009299, HMDB0009330, HMDB0009363, HMDB0009395, HMDB0009428, HMDB0009460, HMDB0009525, HMDB0009556, HMDB0009557, HMDB0009586, HMDB0009587, HMDB0009618, HMDB0009651, HMDB0009605, HMDB0009637, HMDB0009638, HMDB0009670, HMDB0009671, HMDB0009702, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"PLD1","PLD1",1,1,0.0377189043556354,2227,2.9267275068443,"HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0011350, HMDB0011351, HMDB0011377, HMDB0011378, HMDB0011409, HMDB0011442, HMDB0008851, HMDB0008949, HMDB0011158, HMDB0011368, HMDB0008984, HMDB0008985, HMDB0009114, HMDB0011343, HMDB0011405, HMDB0011438, HMDB0009116, HMDB0009117, HMDB0009148, HMDB0009181, HMDB0009345, HMDB0009378, HMDB0011350, HMDB0011351, HMDB0011377, HMDB0011378, HMDB0011409, HMDB0011442, HMDB0007937, HMDB0008033, HMDB0008841, HMDB0008932, HMDB0008991, HMDB0009220, HMDB0009481, HMDB0007956, HMDB0007957, HMDB0008658, HMDB0008691, HMDB0009010, HMDB0009011, HMDB0009042, HMDB0009075, HMDB0009140, HMDB0009173, HMDB0009205, HMDB0009236, HMDB0009267, HMDB0009268, HMDB0009298, HMDB0009299, HMDB0009330, HMDB0009363, HMDB0009395, HMDB0009428, HMDB0009460, HMDB0009525, HMDB0009556, HMDB0009557, HMDB0009586, HMDB0009587, HMDB0009618, HMDB0009651, HMDB0009605, HMDB0009637, HMDB0009638, HMDB0009670, HMDB0009671, HMDB0009702, HMDB0007889, HMDB0007982, HMDB0007983, HMDB0008013, HMDB0008014, HMDB0008042, HMDB0008073, HMDB0008074, HMDB0008106, HMDB0008107, HMDB0008138, HMDB0008169, HMDB0008170, HMDB0008202, HMDB0008203, HMDB0008234, HMDB0008365, HMDB0008398, HMDB0008429, HMDB0008462, HMDB0008623"
"DTYMK","DTYMK",1,1,0,7,0,""
"ENTPD1","ENTPD1",1,1,0,24,0,""
"CANT1","CANT1",1,1,0,23,0,""
"ENTPD3","ENTPD3",1,1,0,24,0,""
"TYR","TYR",0.00486918267606866,0.241688521921226,0.148148148148148,27,2.65634134553611,"HMDB0000158, HMDB0000306, HMDB0000027, HMDB0000784"
"AKR1B1","AKR1B1",1,1,0,23,0,""
"PON3","PON3",0.00321286960462218,0.162428407789233,0.0869565217391304,23,2.50028359321342,"HMDB0001460, HMDB0013035"
"ALPP","ALPP",1,1,0,10,0,""
"PON1","PON1",0.00927474722261418,0.415082949471093,0.111111111111111,18,2.50028359321342,"HMDB0001460, HMDB0013035"
"PON2","PON2",0.00321286960462218,0.162428407789233,0.125,16,2.50028359321342,"HMDB0001460, HMDB0013035"
"ALPI","ALPI",1,1,0,16,0,""
"ACP2","ACP2",1,1,0,11,0,""
"ACP1","ACP1",1,1,0,7,0,""
"ALPL","ALPL",1,1,0,17,0,""
"ACP5","ACP5",1,1,0,14,0,""
"ACPP","ACPP",1,1,0,8,0,""
"ALPPL2","ALPPL2",1,1,0,18,0,""
"MIF","MIF",1,1,0,7,0,""
"ASMT","ASMT",0.6889795846544,1,0.166666666666667,6,2.57978039484735,"HMDB0001389"
