"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1","mz","rt","isotopes","adduct","mass","zscore"
"4668",15.8701775915243,16.1093445318542,15.8460587345031,16.2957193200379,16.2537393549031,17.2903153567804,17.1817452098351,16.8787607189616,16.9888475310281,17.2680997138959,14.8685957152801,300.229517917035,940.005981445312,"[604][M]+","","300.229517917035",-2.0710960021654
"4695",15.5952293103001,15.5584104577342,15.4814017877008,15.6377577562959,15.2911085448978,15.3960171613683,15.6089075719206,15.4303683571395,15.5644759704674,15.3738304592954,15.105927859207,301.104645444387,592.953918457031,"[611][M]+","[M+Na]+ 278.116","278.116",-2.18913635787874
"4740",14.156383083176,14.1987946915937,13.814031037505,14.3188707056886,12.1232726726291,13.7707437763556,13.7845522347057,14.0762063257179,12.8192893414575,13.145959696021,9.11557693799501,303.180746586256,788.191040039062,"","[M+H]+ 302.173","302.173",-2.70267887702335
"4741",15.3035965697908,14.9293065285924,15.0683795968,15.3065687948647,15.2004862783917,15.0864258465639,15.3713427367218,15.2374944265461,15.5195691214657,15.2775052244666,14.4013235034026,303.263918664406,714.93603515625,"[621][M]+","[M+H]+ 302.257","302.257",-2.53998119017131
"4746",14.6847501654275,14.1683804142754,13.2369174181083,13.3991464015356,13.6309089274904,13.9770828721377,14.7685301936087,13.4281531821688,12.6416840034275,12.7748368380811,11.3502645271263,303.190856163675,60.6089935302734,"","","303.190856163675",-2.14713544030595
"4747",16.104070009852,16.07305926077,15.9047369878047,16.3111353773426,15.0228913571696,16.0179576848197,16.3480531631186,16.9340703847057,15.1913980085351,15.2959694228441,12.2247646137717,303.177374024673,493.015563964844,"","[M+Na+HCOOH]+ 234.174","234.174",-2.69221902277788
"4760",18.0999689655422,18.4359895953683,18.3200514726421,18.8146028142162,18.2638934722082,18.3931595248384,18.3126714099048,18.4783353875383,18.3069879796713,18.8936576274077,17.7277776373534,304.261047803875,972.158508300781,"[623][M]+","[M+Na]+ 281.272","281.272",-2.0295381583018
"4847",13.7512250595451,13.5095712185989,13.3589148552351,13.6257483176146,13.4857578304333,13.4369438519113,13.0215439629414,13.4292970744278,13.640071678979,13.7356736130681,12.6625196402772,306.972308109532,65.2509994506836,"","","306.972308109532",-2.34921697417723
"4854",14.4426489784634,14.7291342577104,14.4099760715756,14.5629153476324,14.6247800295813,14.4734445038027,14.859556346494,14.3876146458015,14.6300687754107,14.9690783678655,13.7685265271662,307.100341037211,400.36900000002,"","[M+H]+ 306.097","306.097",-2.43254959450687
"4881",18.9410908771447,17.7562138235906,18.3830847070125,15.7713569279595,17.3714840917242,17.9249263131495,20.7615476687814,21.2303358800933,18.8911142661464,18.0610737778239,13.6877905388886,308.12559941754,775.927001953125,"[641][M]+","[M+Na]+ 285.136","285.136",-2.09294523069637
"4887",14.1352153729938,13.8843560420625,13.4617205341142,13.6475530940351,13.7455373397534,13.703343407449,14.1744015249052,13.9183066554326,13.953313410407,14.0858650702734,12.0885853446362,308.183299322751,733.829986572266,"","","308.183299322751",-2.79262738330759
"4958",21.3170532462,21.7594349026178,21.5848180680409,21.9236804079723,21.759614004085,21.6415888487578,21.5627832823097,22.0593921941122,21.4625704131521,22.3260627760994,20.670326902422,310.310523206114,1000.99645996094,"[654][M]+","[M+H]+ 309.303","309.303",-2.26598210549559
"4968",13.2424338783116,13.1024238832145,13.1674005277794,13.4169009586398,12.7644956775073,12.790587665373,12.8831198719885,13.0539089617576,12.8919733978378,13.1540217869351,13.9789755053653,311.009060380997,314.019973754883,"","","311.009060380997",2.45614140179867
"4981",15.7481808327974,15.687027360592,15.7036280729649,15.6983918277715,15.5173917011867,15.5294042898492,15.5235102158458,15.5471560057942,15.7403398380648,15.5196271853504,16.0594179673991,311.219379951616,911.830383300781,"[659][M]+","[M+H]+ 310.216","310.216",2.43969902881077
"5074",13.5321227922159,14.7056667730621,13.6538303213019,12.7555708693454,13.7394672142164,13.1919716889087,13.4675193138017,15.3606488531427,13.460424328818,14.0219375963782,11.6236196429838,314.208089702103,827.967712402344,"","","314.208089702103",-2.03579576864699
"5142",10.5465876543582,10.9537508183867,10.109667149998,10.9156318177045,10.9128229883728,11.3503816403097,9.63869797267622,11.0853056770043,10.6887102581808,10.9284519720425,12.7635537126557,316.173489516393,529.311340332031,"","[3M+Na+K]2+ 190.124 [M+K]+ 277.205","190.124;277.205",2.38694775294748
"5165",10.5021111417392,11.3021238361624,12.2195469818084,12.9370922408903,12.7784074252441,11.9715009505522,11.6740107432583,12.9146131341236,11.5521803549019,14.3096071674446,15.7486098868631,317.245315820199,1017.5700378418,"","[M+Na]+ 294.256","294.256",2.18412052888312
"5206",12.6221056693103,12.5271747127685,12.3034523728895,12.6776586525307,11.8746046241507,12.9054230272159,13.0268238510438,13.1336460233512,12.3404666350026,12.3754217123163,7.27163395931625,319.043816014799,728.692443847656,"","[M+Na+K-H]+ 258.103 [M+K]+ 280.086","258.103;280.086",-2.94139742408582
"5226",13.6116547324458,14.2090231445506,14.0643110117106,14.6025372532928,14.3016509870183,14.3989396152702,14.1023509921443,14.9384940937255,13.9210242075988,15.2824205013988,12.940684706334,319.299153158555,1009.28299999998,"","[M+H-NH3]+ 335.318","335.318",-2.02513791528425
"5275",15.7901229719304,15.703606471887,15.6200059700022,15.8526067222825,14.6345992058652,15.4218342719166,15.7450467715437,16.4719799820556,14.9178568873988,14.8691290117914,11.2657786694499,321.203478336272,866.087066650391,"","[2M+Na+K]2+ 290.223","290.223",-2.78844448603716
"5304",15.423592780963,15.7256521344002,15.3619483263157,15.5678053918592,15.6089162629817,15.5422353059633,15.967209447282,15.0153848785356,15.5462820484969,15.8649396103781,14.7849657609388,323.094693421886,398.711700439453,"[709][M]+","[M+Na]+ 300.105","300.105",-2.04617042963947
"5319",14.9714668884114,14.7915206734353,15.1270632876393,14.8365822299072,14.7410052341309,14.7804803689733,14.8640316669264,14.9448059210777,14.8791791991863,14.9052718595272,14.3692838434719,323.218889489406,873.380065917969,"","[M+H-CO2]+ 366.203","366.203",-2.48680225073359
"5330",16.115213913195,15.3594579601702,15.1464587553563,13.1936882417172,14.6442363574518,15.1969235483153,17.8871587945538,18.3084804523233,16.0564036060769,15.2531413113643,8.88987015882817,324.099726531617,775.927307128906,"","[M+K]+ 285.136","285.136",-2.48192326004948
"5344",10.401670568906,10.5810373196868,10.9428959592459,10.5407925876888,9.43143835168382,9.59122220946664,10.8166339076647,9.56556233585157,11.2224411352057,9.37876385961276,13.3039484614123,324.275683521165,820.343994140625,"","[M+H-H20]+ 341.29","341.29",2.45716531289111
"5351",16.6775480001856,16.5313248783659,16.4080155837423,16.9010812359115,15.3561856380379,16.4531460476678,17.7044441373671,16.7887829422204,15.7753309956765,16.732978905308,13.3241210510152,325.162368975449,788.190989501963,"","[M+Na]+ 302.173","302.173",-2.56087463871093
"5354",12.7466492500788,12.4839262548348,12.3946176795002,12.5055460216735,11.5271227377891,12.9098594978228,12.6702832242839,13.1358072408547,11.6456306116594,12.4381985794759,9.2943568431289,325.061533436864,728.857879638672,"","[M+2Na-H]+ 280.086","280.086",-2.68880912115233
"5378",8.49138524249329,7.65194293588327,8.4276891273989,9.38706670643175,7.44002124768137,8.18576159963646,8.7840452238575,9.1035261548031,9.06046693216254,7.0800432923822,11.6562561957121,326.051874768196,257.505035400391,"","[M+K+NaCOOH]+ 219.109","219.109",2.43074024680587
"5382",13.9413170930216,13.9626592234883,14.3164793485276,14.2231938733255,13.8960572453311,14.040817279153,14.2549912312335,14.4760115755582,14.3821578098926,14.5520816498067,13.3875102223967,326.193978497168,633.050659179688,"","","326.193978497168",-2.24150532344626
"5393",13.8637709277925,14.3819047095356,14.2226055913018,14.5008050431214,14.4799223283611,14.4562291348422,14.234956591006,14.8538863588884,13.8239578725114,15.2759423401724,13.144424000785,326.304969174424,941.994445800781,"","[M+H]+ 325.298","325.298",-2.05707206932276
"5457",18.2106052800602,17.9697004615192,18.7295353260465,17.9090730334258,18.426959806964,19.1665177763148,19.0401694158941,16.9993302750871,17.2943945096984,17.2101869748548,15.3013923535679,328.248013255649,691.070007324219,"","","328.248013255649",-2.2867005248882
"5462",11.2611906446912,10.8753619628921,10.738307324002,11.3074919549921,11.2419877608029,10.9631912941767,10.7189876895996,11.317693697385,10.8418580539784,11.1822595546266,12.1885225304717,328.189560072187,469.314117431641,"","","328.189560072187",2.51148238964346
"5490",13.5819557194662,12.5351203828612,12.9005917763927,13.1311553058364,12.8331004700589,13.0339110900964,13.5238370393538,13.0543885861021,13.1615993456231,12.842945681374,14.8095299524199,329.229121379157,820.676025390625,"[732][M]+","[M+K]+ 290.263","290.263",2.61982578056706
"5525",17.7721379075408,17.9670170289158,17.7775470881587,17.8013367574949,17.7715379734111,17.6866120898048,17.9003018588979,17.9783695349755,17.8941728330018,18.0333717815013,17.4461668270264,331.18794345108,831.282592773438,"[745][M]+","[M+Na]+ 308.199","308.199",-2.28618113243669
"5532",14.3660523618628,11.3650681647634,14.2005704687711,14.8523229510936,13.0098599489967,14.6245735574807,15.1997356635141,15.8295853074087,13.81329751237,13.4407631416845,19.1124617073407,331.172375747682,543.233595947256,"","[M+H-C5H8O4]+ 462.198","462.198",2.36988148356208
"5545",9.96619284173602,10.0762747264259,7.93425619733716,8.92137676167768,9.13796776169133,9.23677375432288,7.29277045918713,9.40330724888623,8.77683132688132,7.77176893968864,12.3814470011867,332.123416107938,477.600891113281,"","","332.123416107938",2.32480076438243
"5546",9.61240474501482,9.51280928747076,9.82634948306131,8.86690424716402,8.78307602885995,8.02189137939209,11.0097031427873,8.53264720171058,9.56376144013848,9.6445020663416,13.5746407164466,332.125092313755,560.138977050781,"","[3M+Na+2K-H]2+ 188.106","188.106",2.56708527610592
"5560",22.9160482203097,23.3775678971625,23.1295153883646,23.5837148187568,23.319572957586,23.3415889983881,23.2607044038817,23.728908436355,23.2084605406602,23.7617466638767,22.3751481410127,332.293229708089,1000.99597167969,"[749][M]+","[M+Na]+ 309.303","309.303",-2.30328878654195
"5575",9.26085496658838,6.7608668069376,8.48569719426816,6.20442353761077,6.30250606447385,7.86604460933738,10.6290807529931,9.33963071866188,7.25107612741088,9.14573266249941,13.0290799368564,333.109430572585,432.853088378906,"","[M+H+CF3COOH]+ 198.118","198.118",2.18138680666938
"5582",15.9407753543905,14.5955747877025,14.5418832801121,15.1391246546746,14.866461651357,15.4411874770058,15.7580551673199,15.3882640848106,13.8981444898444,14.1219452923402,12.1778947597623,333.188039138706,464.343002319336,"","[M+H]+ 332.185","332.185",-2.38982276492431
"5595",14.0677124354622,15.1998822300248,14.5566052672387,13.799759585482,11.0879998211452,13.6705829011928,16.1866556756873,14.6110240464692,12.4409407312047,12.6062912466051,7.57445351980219,334.141675795158,827.968008789072,"","","334.141675795158",-2.42013495991804
"5610",16.408439172144,16.9956015295462,16.8568003920466,17.2374077104626,17.0962509686869,16.9872862860115,16.8558501862134,17.3820068628529,16.7197819029626,17.6877807902549,15.9103847120145,334.310354315623,995.030029296875,"[754][M]+","[M+H]+ 333.303","333.303",-2.12046422572077
"5639",15.0687402416251,14.787745476103,14.8249603042254,14.9681093468174,14.8452546974075,14.7813703599408,15.3741929197257,14.9023735524724,14.7750679542484,14.7970522221654,13.9620106848711,335.217492027873,876.528045654297,"","","335.217492027873",-2.56004707270654
