"","x"
"1477",13
"1478",1
"1479",4
"1480",0
"1481",8
"1482",2
"1483",0
"1484",0
"1485",0
"1486",1
"1487",0
"1488",0
"1489",0
"1490",0
"1491",11
"1492",2
"1493",3
"1494",0
"1495",0
"1496",0
"1497",0
"1498",2
"1499",3
"1500",6
"1501",10
"1502",0
"1503",0
"1504",1
"1505",0
"1506",2
"1507",2
"1508",0
"1509",0
"1510",0
"1511",0
"1512",0
"1513",0
"1514",1
"1515",0
"1516",0
"1517",0
"1518",0
"1519",0
"1520",0
"1521",0
"1522",0
"1523",0
"1524",6
"1525",0
"1526",0
"1527",0
"1528",2
"1529",1
"1530",6
"1531",0
"1532",2
"1533",32
"1534",4
"1535",0
"1536",0
"1537",3
"1538",8
"1539",0
"1540",0
"1541",0
"1542",1
"1543",0
"1544",0
"1545",0
"1546",1
"1547",0
"1548",0
"1549",0
"1550",10
"1551",0
"1552",0
"1553",0
"1554",4
"1555",0
"1556",0
"1557",0
"1558",0
"1559",7
"1560",0
"1561",0
"1562",0
"1563",0
"1564",0
"1565",0
"1566",1
"1567",1
"1568",0
"1569",7
"1570",0
"1571",0
"1572",0
"1573",29
"1574",0
"1575",0
"1576",14
"1577",0
"1578",0
"1579",0
"1580",0
"1581",1
"1582",0
"1583",0
"1584",0
"1585",0
"1586",0
"1587",0
"1588",0
"1589",0
"1590",12
"1591",11
"1592",2
"1593",12
"1594",0
"1595",2
"1596",4
"1597",1
"1598",7
"1599",2
"1600",7
"1601",2
"1602",5
"1603",0
"1604",2
"1605",2
"1606",14
"1607",0
"1608",0
"1609",8
"1610",0
"1611",0
"1612",0
"1613",1
"1614",0
"1615",2
"1616",0
"1617",0
"1618",2
"1619",1
"1620",0
"1621",1
"1622",3
"1623",0
"1624",0
"1625",0
"1626",1
"1627",0
"1628",3
"1629",0
"1630",0
"1631",0
"1632",0
"1633",0
"1634",0
"1635",0
"1636",0
"1637",0
"1638",0
"1639",0
"1640",0
"1641",0
"1642",0
"1643",0
"1644",0
"1645",0
"1646",0
"1647",0
"1648",0
"1649",0
"1650",0
"1651",0
"1652",4
"1653",0
"1654",9
"1655",0
"1656",2
"1657",0
"1658",3
"1659",1
"1660",1
"1661",20
"1662",0
"1663",0
"1664",0
"1665",0
"1666",5
"1667",3
"1668",0
"1669",0
"1670",1
"1671",0
"1672",0
"1673",0
"1674",0
"1675",0
"1676",0
"1677",0
"1678",0
"1679",11
"1680",0
"1681",51
"1682",0
"1683",0
"1684",11
"1685",0
"1686",0
"1687",0
"1688",0
"1689",0
"1690",0
"1691",11
"1692",0
"1693",2
"1694",3
"1695",3
"1696",2
"1697",4
"1698",10
"1699",8
"1700",0
"1701",1
"1702",2
"1703",4
"1704",2
