"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT15191",8710.870428,10137.60584,11039.17213,7211.503811,10874.61522,12122.98476,9649.943758,7286.645042,10194.69805,9137.0165,10482.31563
"FT15192",67925.39359,48505.62845,83618.07709,82980.51857,132447.2279,74309.30148,62717.22486,49938.9866,71466.83067,130496.295,141221.3904
"FT15193",563437.3138,289776.8368,285253.7863,485484.5839,516042.6686,292848.9723,402485.2852,589314.8328,125112.308,467450.9704,240922.7995
"FT15194",29364.15135,16076.74541,25224.18876,20613.82379,89175.05645,18523.6714,12951.84646,32218.86154,17908.98338,97544.25178,67298.57408
"FT15195",31407.41251,51682.00727,64270.7155,54356.43555,34748.92905,29719.66349,31570.19545,49073.05479,23193.49102,60063.7189,29914.51217
"FT15196",19784.35977,19086.50713,18680.38688,32977.89317,23099.28494,16806.80344,17352.20934,32522.21387,10010.55688,36161.31014,20865.30557
"FT15197",7996.134204,10340.91454,8934.782781,15675.39369,30352.17136,15955.10473,7699.308148,26096.00188,9282.805342,46076.36775,14603.09381
"FT15198",14892.32352,25510.70493,19279.46413,10155.10859,14423.4664,17915.59535,29630.57075,7991.304761,16255.10142,17752.30302,10520.39097
"FT15199",5637.653761,13854.01874,6351.729271,9551.026441,7703.579149,6123.140697,20376.95256,11873.94835,6377.411588,13796.31137,12253.98171
"FT15200",6239.193943,7475.287885,8339.38111,5114.950619,8691.35445,7680.886741,7819.479138,6168.424825,6336.669886,6818.174284,7908.544214
"FT15201",2937.520936,6947.71345,4784.680794,6407.450579,4661.039657,4064.874346,2859.446254,6120.779833,2787.421561,7842.224341,2678.204781
"FT15202",33393.34353,25127.39919,41775.17071,44461.96842,67650.37046,38839.97905,31831.78813,26998.57112,35545.56335,67222.90843,69962.07829
"FT15203",33416.40887,20511.11747,17520.65297,29725.78408,29149.03355,19721.40265,23311.93771,33792.31193,4767.032398,24045.1508,17048.38089
"FT15204",13961.18302,13066.55943,20469.43121,27666.00875,17716.15462,15318.01612,10496.51105,25812.77668,8163.339611,33251.42332,22996.18003
