"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","IEM1"
"FT02814",122814.1155,136514.5859,106415.8373,154531.7413,128449.2565,75820.74163,86653.20064,70770.2488,77013.88808,70449.7139,109295.8338
"FT02815",174711.939,165391.9899,141940.7186,219892.6417,125568.8482,88670.85066,70414.91778,54557.22709,91419.89622,82802.75041,80255.15351
"FT02816",157295.6422,130275.229,175063.2838,136802.6717,177431.5184,90118.50929,77312.16067,101807.45,100602.9507,95788.08127,198843.551
"FT02817",86740.35566,109884.6531,73286.61873,73890.1784,77010.77095,48793.39994,43483.25742,33341.05318,35370.67749,43826.15113,35716.9532
"FT02818",13708.13097,10648.86117,16300.6647,9722.027556,16200.49058,10335.14829,1332.495583,8785.974792,8624.904953,6875.148092,17386.74079
"FT02819",59851.95519,67389.63564,33391.61844,58784.89311,42266.32815,35595.8344,37210.58904,34880.61137,29530.48768,27747.11692,62678.71697
"FT02820",99026.8862,93289.62902,49753.36073,85862.58679,84578.50625,57185.55549,50270.54919,40456.0594,38413.37504,43945.80327,89939.96309
"FT02821",1814.946039,817.3576868,1555.188684,944.561591,1387.596364,996.3226344,562.1215719,418.5717794,2784.721824,1183.380686,3147.681746
"FT02822",66745.63097,58283.08206,65376.8459,52828.85182,47582.86586,34198.27308,31502.18069,26156.54421,29253.89637,27601.98455,43338.29831
"FT02823",227352.6119,245717.6246,137332.3943,196239.4992,178958.5914,113087.979,136068.2789,121107.4365,118869.839,117705.6491,127670.445
"FT02824",88858.33971,97826.5352,111125.5514,117101.6136,100845.3943,77004.8358,69088.01778,70987.55317,68273.15675,79916.59435,91063.52687
"FT02825",385401.4096,382340.6824,357428.9109,32720.48301,360270.3392,281371.5176,282524.9034,269540.395,250434.0959,262251.5852,568526.9504
"FT02826",172990.5846,166627.408,166436.3846,151975.1975,165994.8433,114734.4306,98722.04252,107492.5389,99234.07633,96772.39844,138081.3721
"FT02827",92907.95268,85001.65424,95509.18544,84290.31398,86649.70227,52889.32684,51644.76627,43984.37289,39307.38931,47146.19498,73029.48908
"FT02828",163784.5269,156238.9004,98194.8285,153236.5369,152106.2342,100069.5165,106258.2616,98449.26206,76511.17826,101545.519,118863.5836
"FT02829",1100101.895,1028798.965,1031098.071,1016345.645,936727.348,620498.0786,599830.7074,548604.9668,521580.9577,549496.9397,686117.5687
"FT02830",104304.374,141301.7206,137009.5088,127499.6441,126687.7955,101594.3203,100976.5477,82592.30153,91408.06593,82649.32732,128345.609
"FT02831",181727.3173,145465.3828,172736.6675,154426.6012,165212.2824,78643.02303,93554.97925,75121.27037,79365.89126,96389.64285,127156.4942
"FT02832",398221.3676,392511.6991,368230.4025,385850.6551,386002.6289,308196.6303,304175.5947,284561.6099,271736.6859,277246.5892,315320.7481
"FT02833",282518.6068,277723.7233,262918.4658,273824.496,274531.8281,222185.4486,215848.158,166522.7842,185651.5166,192050.6841,221917.8429
"FT02834",113207.1574,92666.74163,97497.18463,88639.21363,96835.8958,52987.77761,52920.14383,57142.22794,45503.97534,48203.6357,66991.64853
"FT02835",64048.75505,53246.56559,51071.9385,54628.19784,44172.07665,29466.29132,32272.40697,29911.14807,24976.35296,21499.23173,40352.70259
"FT02836",155278.9626,152128.1514,147460.5498,127825.199,117132.0819,88816.06787,73522.60772,56996.65961,53412.51876,68914.49706,113077.9042
