"","x"
"1333",7
"1334",0
"1335",4
"1336",0
"1337",18
"1338",0
"1339",0
"1340",0
"1341",0
"1342",0
"1343",2
"1344",3
"1345",0
"1346",0
"1347",0
"1348",2
"1349",0
"1350",1
"1351",2
"1352",0
"1353",0
"1354",4
"1355",0
"1356",0
"1357",0
"1358",5
"1359",0
"1360",0
"1361",4
"1362",0
"1363",1
"1364",0
"1365",2
"1366",0
"1367",0
"1368",4
"1369",3
"1370",3
"1371",3
"1372",3
"1373",0
"1374",0
"1375",0
"1376",1
"1377",0
"1378",0
"1379",0
"1380",5
"1381",5
"1382",3
"1383",1
"1384",1
"1385",0
"1386",0
"1387",0
"1388",0
"1389",0
"1390",0
"1391",0
"1392",1
"1393",1
"1394",0
"1395",0
"1396",0
"1397",0
"1398",0
"1399",3
"1400",3
"1401",0
"1402",0
"1403",1
"1404",0
"1405",0
"1406",0
"1407",0
"1408",1
"1409",32
"1410",2
"1411",0
"1412",2
"1413",3
"1414",1
"1415",5
"1416",0
"1417",0
"1418",2
"1419",0
"1420",49
"1421",2
"1422",0
"1423",0
"1424",0
"1425",0
"1426",0
"1427",1
"1428",0
"1429",1
"1430",1
"1431",7
"1432",1
"1433",0
"1434",0
"1435",0
"1436",0
"1437",0
"1438",0
"1439",0
"1440",0
"1441",2
"1442",6
"1443",0
"1444",1
"1445",4
"1446",0
"1447",0
"1448",0
"1449",3
"1450",1
"1451",0
"1452",0
"1453",0
"1454",0
"1455",0
"1456",0
"1457",0
"1458",5
"1459",1
"1460",5
"1461",0
"1462",10
"1463",6
"1464",0
"1465",0
"1466",0
"1467",0
"1468",0
"1469",0
"1470",0
"1471",0
"1472",0
"1473",0
"1474",0
"1475",0
"1476",1
"1477",0
"1478",1
"1479",1
"1480",1
"1481",22
"1482",0
"1483",0
"1484",4
"1485",4
"1486",0
"1487",0
"1488",0
"1489",2
"1490",1
"1491",0
"1492",6
"1493",6
"1494",4
"1495",0
"1496",0
"1497",0
"1498",0
"1499",0
"1500",0
"1501",3
"1502",4
"1503",0
"1504",0
"1505",1
"1506",1
"1507",0
"1508",0
"1509",0
"1510",0
"1511",0
"1512",0
"1513",1
"1514",0
"1515",1
"1516",1
"1517",2
"1518",6
"1519",1
"1520",7
"1521",1
"1522",6
"1523",1
"1524",0
"1525",7
"1526",1
"1527",0
"1528",1
"1529",7
"1530",0
"1531",1
"1532",1
"1533",0
"1534",0
"1535",0
"1536",0
"1537",0
"1538",0
"1539",0
"1540",0
"1541",1
"1542",0
"1543",1
"1544",0
"1545",0
"1546",0
"1547",0
"1548",0
"1549",7
"1550",0
"1551",0
"1552",2
"1553",25
"1554",32
"1555",5
"1556",1
"1557",5
"1558",0
"1559",0
"1560",6
"1561",5
"1562",1
"1563",0
"1564",0
"1565",0
"1566",1
"1567",0
"1568",2
"1569",7
"1570",0
"1571",2
"1572",4
"1573",0
"1574",0
"1575",0
"1576",0
"1577",0
"1578",1
"1579",0
"1580",0
"1581",2
"1582",0
"1583",5
"1584",0
"1585",0
"1586",1
"1587",1
"1588",0
"1589",0
"1590",23
"1591",0
"1592",4
"1593",14
"1594",9
"1595",0
"1596",14
"1597",0
"1598",0
"1599",0
"1600",0
"1601",0
"1602",9
"1603",0
"1604",0
"1605",0
"1606",14
"1607",0
"1608",0
"1609",0
"1610",0
"1611",14
"1612",0
"1613",0
"1614",0
"1615",0
"1616",0
"1617",0
"1618",0
"1619",6
"1620",1
"1621",1
"1622",1
"1623",0
"1624",0
"1625",0
"1626",1
"1627",1
"1628",0
"1629",0
"1630",0
"1631",12
"1632",2
"1633",12
"1634",2
"1635",1
"1636",3
"1637",4
"1638",3
"1639",3
"1640",3
"1641",3
"1642",0
"1643",0
"1644",0
"1645",0
"1646",2
"1647",2
"1648",1
"1649",7
"1650",4
"1651",0
"1652",0
"1653",0
"1654",0
"1655",1
"1656",0
"1657",0
"1658",0
"1659",0
"1660",0
"1661",0
"1662",0
"1663",1
"1664",0
"1665",0
"1666",3
"1667",0
"1668",0
"1669",0
"1670",5
"1671",0
"1672",0
"1673",5
"1674",1
"1675",1
"1676",1
"1677",2
"1678",0
"1679",3
"1680",0
"1681",10
"1682",0
"1683",0
"1684",0
"1685",0
"1686",0
"1687",0
"1688",0
"1689",0
"1690",0
"1691",0
"1692",0
"1693",0
"1694",0
"1695",0
"1696",0
"1697",0
"1698",0
"1699",0
"1700",0
"1701",0
"1702",0
"1703",0
"1704",0
"1705",0
"1706",0
"1707",0
"1708",0
"1709",0
"1710",2
"1711",2
"1712",0
"1713",0
"1714",0
"1715",0
"1716",0
"1717",0
"1718",0
"1719",0
"1720",0
"1721",0
"1722",0
"1723",0
"1724",0
"1725",2
"1726",2
"1727",0
"1728",0
"1729",0
"1730",0
"1731",0
"1732",0
"1733",3
"1734",0
"1735",0
"1736",7
"1737",0
"1738",0
"1739",2
"1740",0
"1741",1
"1742",0
"1743",0
"1744",1
"1745",5
"1746",1
"1747",0
"1748",0
"1749",0
"1750",0
"1751",0
"1752",0
"1753",4
"1754",0
"1755",0
"1756",3
"1757",1
"1758",1
"1759",0
"1760",0
"1761",0
"1762",6
"1763",0
"1764",1
"1765",0
"1766",5
"1767",1
"1768",2
"1769",1
"1770",0
"1771",0
"1772",0
"1773",0
"1774",0
"1775",0
"1776",0
"1777",1
"1778",0
"1779",7
"1780",2
"1781",0
"1782",0
"1783",4
"1784",1
"1785",0
"1786",0
"1787",0
"1788",4
"1789",1
"1790",4
"1791",1
"1792",0
"1793",0
"1794",1
"1795",2
"1796",0
"1797",0
"1798",0
"1799",0
"1800",0
"1801",0
"1802",10
"1803",0
"1804",7
"1805",0
"1806",1
"1807",0
"1808",0
"1809",0
"1810",0
"1811",0
"1812",0
"1813",0
"1814",0
"1815",0
"1816",0
"1817",0
"1818",1
"1819",0
"1820",2
"1821",1
"1822",1
"1823",0
"1824",0
"1825",1
"1826",12
"1827",0
"1828",1
"1829",1
"1830",1
"1831",0
"1832",8
"1833",1
"1834",1
"1835",1
"1836",0
"1837",0
"1838",0
"1839",0
"1840",0
"1841",0
"1842",5
"1843",0
"1844",44
"1845",3
"1846",1
"1847",1
"1848",2
"1849",0
"1850",0
"1851",0
"1852",0
"1853",0
"1854",0
"1855",0
"1856",0
"1857",2
"1858",3
"1859",2
"1860",5
"1861",3
"1862",2
"1863",0
"1864",5
"1865",0
"1866",4
"1867",2
"1868",5
"1869",0
"1870",3
"1871",0
"1872",0
"1873",0
"1874",0
"1875",0
"1876",0
"1877",0
"1878",0
"1879",0
"1880",1
"1881",5
"1882",5
"1883",0
"1884",0
"1885",1
"1886",0
"1887",0
"1888",0
"1889",1
"1890",6
"1891",0
"1892",0
"1893",0
"1894",0
"1895",5
"1896",0
"1897",0
"1898",0
"1899",0
"1900",1
"1901",1
"1902",0
"1903",1
"1904",1
"1905",0
"1906",14
"1907",14
"1908",0
"1909",0
"1910",0
"1911",0
"1912",0
"1913",0
"1914",0
"1915",0
"1916",0
"1917",0
"1918",0
"1919",0
"1920",0
"1921",0
"1922",0
"1923",0
"1924",0
"1925",2
"1926",0
"1927",0
"1928",0
"1929",0
"1930",0
"1931",0
"1932",0
"1933",0
"1934",0
"1935",0
"1936",0
"1937",8
"1938",0
"1939",3
"1940",0
"1941",1
"1942",12
"1943",0
"1944",14
"1945",0
"1946",0
"1947",0
"1948",23
"1949",5
"1950",8
"1951",1
"1952",10
"1953",0
"1954",0
"1955",0
"1956",0
"1957",0
"1958",0
"1959",0
"1960",0
"1961",0
"1962",0
"1963",0
"1964",0
"1965",0
"1966",0
"1967",11
"1968",6
"1969",1
"1970",1
"1971",0
"1972",1
"1973",0
"1974",1
"1975",0
"1976",1
"1977",1
"1978",0
"1979",1
"1980",1
"1981",1
"1982",0
"1983",0
"1984",1
"1985",4
"1986",0
"1987",1
"1988",0
"1989",1
"1990",1
"1991",1
"1992",1
"1993",1
"1994",0
"1995",4
"1996",0
"1997",1
"1998",0
"1999",1
"2000",0
"2001",1
"2002",1
"2003",3
"2004",0
"2005",0
"2006",0
"2007",1
"2008",5
"2009",0
"2010",3
"2011",0
"2012",0
"2013",0
"2014",4
"2015",0
"2016",0
"2017",0
"2018",0
"2019",0
"2020",0
"2021",0
"2022",1
"2023",3
"2024",1
"2025",0
"2026",0
"2027",0
"2028",1
"2029",0
"2030",0
"2031",0
"2032",0
"2033",0
"2034",0
"2035",0
"2036",0
"2037",0
"2038",0
"2039",0
"2040",0
"2041",0
"2042",1
"2043",0
"2044",0
"2045",0
"2046",8
"2047",0
"2048",0
"2049",0
"2050",4
"2051",0
"2052",4
"2053",2
"2054",3
"2055",2
"2056",1
"2057",0
"2058",7
"2059",0
"2060",1
"2061",1
"2062",0
"2063",14
"2064",0
"2065",0
"2066",0
"2067",4
"2068",4
"2069",0
"2070",3
"2071",1
"2072",0
"2073",7
"2074",23
"2075",1
"2076",0
"2077",0
"2078",0
"2079",0
"2080",0
"2081",0
"2082",2
"2083",0
"2084",0
"2085",0
"2086",0
"2087",0
"2088",4
"2089",1
"2090",0
"2091",0
"2092",0
"2093",0
"2094",0
"2095",8
"2096",0
"2097",0
"2098",0
"2099",0
"2100",0
"2101",3
"2102",2
"2103",0
"2104",0
"2105",2
"2106",4
"2107",7
"2108",16
"2109",1
